Time,Value
2.083333333333333e-05,0.4105980037685956
0.02135416666666667,0.5527444897121927
0.0426875,0.7498182226811422
0.06402083333333333,0.7832270538573612
0.08535416666666666,0.8555968536423249
0.1066875,0.9955222199591955
0.1280208333333333,1
0.1493541666666667,0.894332705217762
0.1706875,0.7651816259646994
0.1920208333333333,0.6201815994283509
0.2133541666666667,0.4401827598213327
0.2346875,0.3013135482119486
0.2560208333333333,0.171814147452232
0.2773541666666667,0.08404343527429743
0.2986875,0.03749365387474132
0.3200208333333333,0.01058976022708003
0.3413541666666667,0.008998243825519009
0.3626875,0.001745339173144379
0.3840208333333333,0.001790060443608951
0.4053541666666667,0.0005356197824850066
0.4266875,0.0001037721226162115
